<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20171106;000000;58.2800000;59.5875000;58.2100000;59.2200000;15390127000
20171113;000000;59.1950000;60.9200000;59.0025000;59.0800000;17780612000
20171120;000000;59.2825000;59.5950000;58.2500000;58.3700000;13600391000
20171127;000000;58.4000000;59.1675000;58.0400000;58.8800000;15613081000
20171204;000000;58.9700000;59.4200000;58.5950000;59.1300000;13154759000
20171211;000000;59.2000000;59.3300000;58.5325000;58.8000000;13255511000
20171218;000000;58.7475000;58.8800000;58.1900000;58.3750000;11732273000
20171225;000000;58.7200000;59.0025000;57.3800000;57.6300000;13165118000
20180101;000000;57.6575000;57.8900000;56.8000000;56.9825000;1865605000
20180108;000000;57.0875000;57.1850000;56.4175000;56.6500000;11220028000
20180115;000000;56.5900000;56.9650000;56.2025000;56.7200000;15513709000
20180122;000000;56.7300000;56.7300000;55.5850000;56.2750000;15882402000
20180129;000000;56.2500000;56.5600000;55.8850000;56.5500000;17224510000
20180205;000000;56.5750000;58.7700000;56.4875000;58.4000000;24376340000
20180212;000000;58.0675000;58.1725000;56.1650000;56.3975000;18730666000
20180219;000000;56.3900000;56.8775000;56.2400000;56.5175000;10567463000
20180226;000000;56.0900000;57.3825000;55.5575000;56.8150000;20217636000
20180305;000000;56.8575000;57.3125000;56.2600000;56.6600000;10906716000
20180312;000000;56.7275000;57.8125000;56.4850000;57.4900000;17176332000
20180319;000000;57.5400000;58.0425000;56.7300000;57.2900000;17757573000
20180326;000000;56.9400000;57.8825000;56.8250000;57.1450000;15637017000
20180402;000000;57.2000000;58.1750000;57.1625000;58.1750000;14156114000
20180409;000000;58.1750000;65.0575000;58.1625000;62.0500000;36672783000
20180416;000000;62.6175000;62.6200000;60.0000000;61.4000000;18716589000
20180423;000000;61.3700000;63.0400000;61.3000000;62.2700000;20704849000
20180430;000000;62.3000000;64.2975000;62.2025000;62.5050000;9768298000
20180507;000000;62.7575000;63.6775000;61.4150000;61.9300000;13012258000
20180514;000000;61.9250000;62.7700000;61.5500000;62.2575000;18760214000
20180521;000000;62.4800000;62.7150000;60.9375000;62.2875000;20469004000
20180528;000000;62.3050000;62.9300000;61.9350000;62.1925000;16791654000
20180604;000000;62.1000000;62.9425000;61.6825000;62.5250000;17374919000
20180611;000000;62.2275000;63.3500000;61.9550000;63.1975000;13156845000
20180618;000000;63.2500000;64.2200000;62.8050000;62.8950000;19337738000
20180625;000000;63.2700000;63.4900000;62.5700000;62.7700000;17714730000
20180702;000000;63.1325000;63.6000000;62.9050000;62.9725000;12510031000
20180709;000000;62.8775000;62.9350000;61.6375000;62.5600000;17738335000
20180716;000000;62.4825000;63.7950000;62.0950000;63.5150000;16614056000
20180723;000000;63.3725000;63.5475000;62.6500000;62.7975000;15122390000
20180730;000000;62.8150000;63.5600000;62.1825000;63.3375000;14408468000
20180806;000000;63.3950000;67.9275000;63.3725000;67.7200000;20161364000
20180813;000000;68.6525000;68.6600000;66.2325000;67.0300000;19371678000
20180820;000000;67.2100000;69.0100000;66.8550000;67.1000000;19347361000
20180827;000000;67.3850000;68.5000000;66.9750000;67.5500000;15161790000
20180903;000000;67.7200000;69.9500000;67.6425000;69.9125000;16868585000
20180910;000000;69.9200000;70.6000000;67.4600000;68.0525000;19462912000
20180917;000000;68.4800000;68.4800000;66.1150000;66.4100000;15371538000
20180924;000000;66.4900000;66.4900000;65.2150000;65.5350000;12523411000
20181001;000000;65.4800000;67.0550000;64.8475000;66.5975000;14142485000
20181008;000000;66.8225000;67.1050000;65.8500000;66.1175000;12042423000
20181015;000000;65.9800000;65.9800000;65.2450000;65.4900000;12954328000
20181022;000000;65.5400000;65.9900000;64.9450000;65.7200000;15184742000
20181029;000000;65.8200000;66.2875000;65.4625000;66.2025000;12113740000
20181105;000000;65.9900000;68.1900000;65.7525000;68.0050000;11048416000
20181112;000000;67.6500000;68.2800000;65.6600000;65.9800000;15484120000
20181119;000000;65.9950000;66.4200000;65.1800000;66.1925000;14365536000
20181126;000000;66.5200000;67.5450000;65.9175000;66.9500000;17941826000
20181203;000000;66.5500000;67.2325000;65.9850000;66.3950000;14212897000
20181210;000000;66.2600000;66.8150000;66.1175000;66.7600000;11064221000
20181217;000000;66.6600000;69.1275000;66.4325000;68.8400000;15108127000
20181224;000000;68.4900000;69.9500000;68.1700000;69.8175000;10516115000
20181231;000000;69.3950000;71.4525000;67.5125000;67.7400000;2313850000
20190107;000000;66.8650000;67.4500000;66.6675000;66.8750000;9888114000
20190114;000000;67.0800000;67.3025000;66.1200000;66.2750000;12768884000
20190121;000000;66.3500000;66.6275000;65.6750000;66.0000000;13120957000
20190128;000000;65.6600000;66.4150000;65.1600000;65.5050000;13731629000
20190204;000000;65.5950000;66.1575000;65.4200000;65.8100000;9227380000
20190211;000000;65.6550000;67.1625000;65.5025000;66.3000000;13358427000
20190218;000000;65.9000000;66.3950000;65.3050000;65.3925000;10215467000
20190225;000000;65.3900000;66.0250000;65.1625000;65.9400000;9185574000
20190304;000000;65.8800000;66.3075000;65.6375000;66.2825000;7165317000
20190311;000000;66.2600000;66.3300000;64.7900000;64.8150000;9980839000
20190318;000000;65.6525000;65.6525000;63.6300000;64.6600000;15491589000
20190325;000000;64.6400000;65.7625000;63.9200000;65.6375000;17388818000
20190401;000000;65.2525000;65.8500000;65.0400000;65.3400000;12296975000
20190408;000000;65.4000000;65.4525000;64.1275000;64.3500000;11782231000
20190415;000000;64.0525000;64.4550000;63.8000000;64.0500000;8766279000
20190422;000000;63.8750000;64.9825000;63.6575000;64.7350000;11499780000
20190429;000000;64.7475000;67.0000000;64.3325000;65.0775000;6214349000
20190506;000000;65.3575000;65.5100000;64.9000000;65.0750000;7142259000
20190513;000000;65.4150000;65.5600000;64.3900000;64.7775000;10777116000
20190520;000000;64.6950000;64.9275000;64.1125000;64.4725000;10801543000
20190527;000000;64.4925000;65.5900000;64.3625000;65.4300000;11723180000
20190603;000000;65.5150000;65.5975000;64.7450000;64.8050000;11875842000
20190610;000000;64.8300000;64.8675000;64.2150000;64.3800000;7881015000
20190617;000000;64.3775000;64.3975000;62.8700000;63.0250000;13694409000
20190624;000000;62.9950000;63.3300000;62.4975000;63.2400000;12010780000
20190701;000000;62.9325000;63.8675000;62.7775000;63.8025000;11612911000
20190708;000000;63.8975000;63.9975000;62.7550000;62.9775000;10014468000
20190715;000000;63.0300000;63.1375000;62.5600000;63.0550000;9258270000
20190722;000000;63.0325000;63.5075000;62.8350000;63.3675000;10453623000
20190729;000000;63.4575000;65.4325000;63.1000000;65.2725000;14452145000
20190805;000000;65.3225000;65.7000000;64.8450000;65.2825000;14063772000
20190812;000000;65.2625000;66.5850000;64.7850000;66.5200000;17260561000
20190819;000000;66.3300000;67.1100000;65.4450000;65.9850000;13835253000
20190826;000000;65.9700000;66.9875000;65.8300000;66.7900000;11821423000
20190902;000000;66.7825000;67.1400000;65.5900000;65.7300000;10478227000
20190909;000000;65.5500000;65.6725000;64.1450000;64.3375000;11396181000
20190916;000000;63.8525000;64.5100000;63.5775000;64.0100000;11563185000
20190923;000000;63.9425000;64.7125000;63.6100000;64.6975000;11508860000
20190930;000000;64.6500000;65.5650000;64.5425000;64.6150000;11757305000
20191007;000000;64.7200000;65.3675000;64.0075000;64.2050000;10353463000
20191014;000000;64.2900000;64.5075000;63.7500000;63.7600000;8901038000
20191021;000000;63.8175000;64.1425000;63.5550000;63.8525000;10575305000
20191028;000000;63.8525000;64.1800000;63.3700000;63.5400000;10256256000
20191104;000000;63.3725000;64.0350000;63.1750000;63.8000000;8422628000
20191111;000000;63.9300000;64.4700000;63.7100000;63.7675000;9548667000
20191118;000000;63.7500000;64.1125000;63.6175000;63.8700000;8871636000
20191125;000000;63.8325000;64.3475000;63.7275000;64.3175000;8549163000
20191202;000000;64.3750000;64.4925000;63.6000000;63.7550000;8146651000
20191209;000000;63.6800000;63.8100000;62.1500000;62.8975000;9617786000
20191216;000000;62.8000000;62.8600000;62.0125000;62.2525000;9282693000
20191223;000000;62.2850000;62.3600000;61.5075000;62.0325000;8401378000
20191230;000000;62.0275000;62.2375000;61.6450000;62.1000000;2619284000
20200106;000000;62.1000000;62.3975000;60.8775000;61.0600000;5562395000
20200113;000000;61.0475000;61.8100000;60.8825000;61.5550000;12321972000
20200120;000000;61.5300000;62.2875000;61.3825000;62.0700000;11080378000
20200127;000000;62.3525000;63.9500000;62.1875000;63.9150000;17099475000
20200203;000000;63.9175000;64.2375000;62.5450000;64.1250000;17668456000
20200210;000000;63.9325000;64.3025000;62.9100000;63.5625000;15185876000
20200217;000000;63.4550000;64.5725000;63.2125000;64.0725000;15031186000
20200224;000000;64.8500000;67.6500000;64.6600000;66.8775000;20877240000
20200302;000000;66.6775000;68.5950000;65.3000000;68.5725000;24261933000
20200309;000000;72.2450000;75.4900000;70.6775000;72.5975000;22937533000
20200316;000000;73.9900000;81.9725000;73.2025000;79.9325000;25049221000
20200323;000000;80.6900000;81.4950000;76.9675000;78.8200000;19998765000
20200330;000000;80.0775000;80.8500000;76.4900000;76.4925000;18496056000
20200406;000000;76.8400000;77.1000000;72.5950000;73.7500000;14937616000
20200413;000000;73.3500000;75.3500000;72.7250000;73.9900000;15587576000
20200420;000000;74.8700000;77.6500000;73.9650000;74.5450000;19465745000
20200427;000000;74.4675000;74.9000000;72.6125000;74.3950000;12870208000
20200504;000000;75.2800000;75.9700000;73.1000000;73.4000000;11594716000
20200511;000000;73.7000000;74.4950000;72.9725000;73.5800000;10758920000
20200518;000000;73.1000000;73.1725000;70.6000000;71.6400000;15249663000
20200525;000000;71.5300000;71.8475000;70.1200000;70.1425000;12422726000
20200601;000000;69.9200000;69.9875000;68.2125000;68.7000000;14582196000
20200608;000000;68.3575000;70.2800000;68.0400000;70.2000000;10634553000
20200615;000000;70.4900000;70.6975000;69.1550000;69.4375000;12395086000
20200622;000000;69.5525000;69.9975000;68.5500000;69.8000000;9563770000
20200629;000000;69.8400000;71.6675000;69.5950000;71.3700000;11388268000
20200706;000000;70.9200000;72.3125000;70.4925000;70.7275000;12568624000
20200713;000000;70.6325000;72.0000000;70.4725000;71.8725000;11494892000
20200720;000000;71.8475000;72.1525000;70.5400000;71.7350000;11716382000
20200727;000000;71.5375000;74.5025000;71.4375000;74.4200000;13445267000
20200803;000000;74.4550000;74.6800000;72.6375000;73.7275000;12739278000
20200810;000000;73.8450000;74.0100000;72.6975000;72.8750000;10143626000
20200817;000000;72.9450000;75.0100000;72.7725000;74.8000000;12369665000
20200824;000000;74.5225000;76.0025000;74.0000000;74.0125000;11711518000
20200831;000000;74.2400000;75.8500000;73.3600000;75.4325000;14607889000
20200907;000000;75.5900000;76.5950000;74.6675000;75.0500000;14446946000
20200914;000000;74.8450000;75.7750000;74.5750000;75.7450000;12366382000
20200921;000000;75.6575000;78.5000000;75.5450000;78.2075000;19908376000
20200928;000000;78.1500000;79.9750000;77.0000000;78.2025000;17864053000
20201005;000000;77.9900000;79.2500000;76.6600000;76.7675000;13298796000
20201012;000000;76.9275000;78.4700000;76.8400000;77.9375000;13188834000
20201019;000000;78.0750000;78.0775000;76.1125000;76.1250000;14144488000
20201026;000000;76.5400000;79.6300000;76.0100000;79.5300000;18631696000
20201102;000000;79.9000000;80.9525000;76.7775000;77.4100000;15161321000
20201109;000000;77.3300000;77.7125000;75.7500000;77.3875000;19149013000
20201116;000000;77.1775000;77.1900000;75.5225000;76.2000000;17328154000
20201123;000000;76.0575000;76.5375000;75.3025000;75.8525000;17158991000
20201130;000000;76.3000000;76.5900000;73.7575000;74.0500000;18982850000
20201207;000000;74.2675000;74.5200000;72.8500000;72.9450000;17220286000
